Format_Numero,Candidat,Type_Erreur,Détails
16,Sarah 16,Modification,"The 'Extraction' variant has modified the description of professional experiences and studies, omitting details such as 'Part-time' for the job title and specific tasks like 'SEO optimization and newsletter campaigns'. Additionally, the dates for the 'French Baccalauréat' are inconsistent, with '2021 - 2022' in 'Extraction' versus '2022' in 'Original'. The 'List of personal interests' is also significantly reduced in 'Extraction'."
17,Amelie 17,Modification,"The 'Extraction' variant modifies the dates for the 'French Baccalauréat' from '2022' to '2021 - 2022', which is a non-overlapping, incompatible date change."
17,Camille 17,Omission,"The 'Extraction' variant omits specific details from the 'Original' variant, such as the full description of the humanitarian mission, the budget for cultural events, and the complete list of personal interests. Additionally, the location 'Dakar' is less specific than 'Senegal', and the exchange program at McGill University is missing."
17,Clara 17,Modification,"The 'Extraction' variant has a modification in the 'List of personal interests' where 'long-distance running, economic podcasts' is replaced with 'Sports, Culture'. Additionally, the 'List of studies' has a date modification for 'Lycée du Parc' from '2022' to '2021 - 2022'."
17,Hugo 17,Modification,"The 'Extraction' variant modifies the 'List of personal interests' by generalizing 'Stock market investing.' to 'Investing' and 'chess.' and 'marathon training.' to 'Sports'. Additionally, the 'Extraction' variant changes the dates for the 'French Baccalauréat' from '2021' to '2020 - 2021', which is a temporal modification."
17,Ines 17,Modification,"The job title for the first experience is modified from 'Policy Research Assistant (Internship)' to 'Policy Research Assistant'. The description for both experiences is shortened, omitting details such as 'Contributed to reports on labor market reforms and public spending efficiency' and 'Participated in stakeholder interviews and policy workshops' for the first experience, and 'Prepared briefing notes and synthesis documents for internal use' for the second experience. The dates for the second education entry are modified from '2022' to '2021 - 2022'. The level of degree for the second education entry is modified from 'French Baccalauréat' to 'Baccalauréat (Economics)'. The list of personal interests is shortened, omitting 'Regular attendee of economic conferences and public policy forums.' and 'Tutor for underprivileged high school students in economics.'"
17,Sarah 17,Modification,"The 'Extraction' variant has modified the dates for the 'French Baccalauréat' from '2022' to '2021 - 2022', which is a non-overlapping, incompatible date change."
18,Camille 18,Omission,The 'Extraction' is missing the second study entry for McGill University and the detailed descriptions in personal interests.
18,Clara 18,Modification,"The 'Extraction' variant modifies the 'List of personal interests' by changing 'long-distance running, economic podcasts' to 'Sports, Culture', which alters the specific interests listed."
18,Hugo 18,Modification,"The 'Extraction' variant modifies the 'List of personal interests' by generalizing 'Stock market investing.' to 'Investing' and 'chess.' and 'marathon training.' to 'Sports'. Additionally, the 'Extraction' variant omits part of the job description for the 'Corporate Finance Intern' role and modifies the dates for the 'French Baccalauréat' from '2021' to '2020 - 2021'."
18,Ines 18,Modification,"The job title for the first professional experience is modified from 'Policy Research Assistant (Internship)' to 'Policy Research Assistant'. The description for both professional experiences is shortened, omitting details such as 'Contributed to reports on labor market reforms and public spending efficiency' and 'Participated in stakeholder interviews and policy workshops'. The dates for the second study entry are modified from '2022' to '2021 - 2022'. The level of degree for the second study entry is modified from 'French Baccalauréat' to 'Baccalauréat (Economics)'. The list of personal interests is shortened, omitting 'Regular attendee of economic conferences and public policy forums.' and 'Tutor for underprivileged high school students in economics.'"
18,Sarah 18,Modification,"The 'Extraction' variant has modified the dates for the 'French Baccalauréat' from '2022' to '2021 - 2022', which is a non-overlapping, incompatible date change. Additionally, the 'Extraction' variant has simplified the descriptions in both professional experiences and personal interests, which may lead to loss of detail but does not constitute an error under the audit rules."
18,Thomasl 18,Omission,"The 'Extraction' variant omits specific details from the 'Original' variant, such as the full description of professional experiences and personal interests. Additionally, the 'Extraction' does not include the field of study and the country or city for the studies section."
15,Amelie 15,Modification,The 'Extraction' variant has a different date range for the Baccalauréat degree ('2021 - 2022' vs '2022') and a modified degree title ('Baccalauréat (Economics)' vs 'French Baccalauréat').
15,Camille 15,Modification,"The 'Extraction' variant has modified the location from 'Senegal' to 'Dakar', which is a specific city rather than the country. Additionally, the 'Extraction' variant has omitted detailed descriptions in both professional experiences and personal interests, reducing the granularity of information. The dates for the 'NGO Education For All' experience are more specific in the 'Extraction' variant, but this is not an error. The 'Extraction' variant also lacks the second study entry for McGill University."
15,Hugo 15,Modification,"The 'Extraction' variant modifies the 'List of personal interests' by generalizing 'Stock market investing' to 'Investing' and 'marathon training' to 'Sports'. Additionally, the 'Extraction' variant changes the dates for the 'French Baccalauréat' from '2021' to '2020 - 2021'."
15,Ines 15,Modification,The job title for the first experience is missing '(Internship)' in the Extraction. The description for both experiences is less detailed in the Extraction. The dates for the second education entry are inconsistent ('2022' vs '2021 - 2022'). The level of degree for the second education entry is modified ('French Baccalauréat' vs 'Baccalauréat (Economics)'). The list of personal interests is less detailed in the Extraction.
15,Sarah 15,Modification,"The 'Extraction' variant has modified the description of the 'Digital Marketing Assistant' role by omitting details about SEO optimization and newsletter campaigns. Additionally, the 'Extraction' variant has altered the dates for the 'French Baccalauréat' from '2022' to '2021 - 2022', which is incompatible with the 'Original' variant."
22,Amelie 22,Omission,The 'Extraction' variant omits detailed descriptions under 'List of personal interests' that are present in the 'Original'.
22,Camille 22,Omission,"The 'Extraction' variant is missing the country 'Senegal' for the NGO 'Education For All' experience. Additionally, the field 'Political Science' is missing in the 'Extraction' variant for the University of Bordeaux study."
22,Ines 22,Omission,The 'Extraction' variant is missing the description for the tutoring role under professional experiences and the detailed personal interest in attending economic conferences and public policy forums.
22,Sarah 22,Omission,"The 'Extraction' variant omits the personal interest 'Personal Instagram portfolio focused on lifestyle and travel photography.' and 'Strong interest in fashion, consumer trends, and contemporary art exhibitions.' from the 'List of personal interests'."
22,Thomasg 22,Omission,The 'Extraction' variant omits the interest 'Active member of startup communities and innovation events.' from the 'List of personal interests'.
25,Camille 25,Omission,"The 'Extraction' variant omits the country 'Senegal' for the NGO experience and the city 'Bordeaux, France' for the University of Bordeaux study. Additionally, the 'Extraction' variant does not include detailed descriptions for personal interests."
25,Ines 25,Omission,The 'List of personal interests' is missing in the Extraction variant.
25,Maxime 25,Omission,The 'Extraction' variant omits the personal interest 'Strong interest in Industry 4.0 and automation technologies.' and 'Competitive basketball (regional league).' from the 'List of personal interests'.
25,Sarah 25,Omission,"The 'Extraction' variant omits the personal interest detail: 'Personal Instagram portfolio focused on lifestyle and travel photography.' and 'Strong interest in fashion, consumer trends, and contemporary art exhibitions.'"
25,Thomasl 25,Modification,"The company name 'PayFast Fintech' was modified to 'PayFast'. The dates for the freelance experience were changed from '2024 - Present' to 'Jan 2024 - Jan 2026', which is a modification of the temporal data. The field of study 'Digital Project Management' was marked as 'not found' in the extraction, and the university name was expanded to include 'École du Web, Lyon'. The personal interests were simplified, losing specific details."
39,Amelie 39,Omission,The 'Extraction' variant omits detailed descriptions under 'List of personal interests' that are present in the 'Original' variant.
39,Camille 39,Omission,"The 'Extraction' is missing the country 'Senegal' for the NGO experience and the field 'Political Science' for the University of Bordeaux study entry. Additionally, the 'Extraction' does not include detailed personal interests descriptions."
39,Ines 39,Modification,"The job title and company for the second professional experience are swapped in the Extraction. The Original lists 'Public Affairs Intern' as the company and 'Ministry of Economy and Finance' as the job title, while the Extraction reverses these."
39,Louis 39,Omission,The 'Extraction' variant omits part of the description for the 'Business Analytics Project (Academic)' experience and the 'Data Visualization' interest from the 'Original' variant.
39,Sarah 39,Omission,"The 'Extraction' variant omits details from the 'List of personal interests', specifically the 'Personal Instagram portfolio focused on lifestyle and travel photography' and 'Strong interest in fashion, consumer trends, and contemporary art exhibitions.'"
23,Ines 23,Modification,"The job title and company for the second professional experience are swapped in the Extraction. Additionally, a tutoring role is listed as a professional experience in the Extraction, which is not present in the Original as a professional experience."
23,Louis 23,Omission,The 'Extraction' variant omits specific personal interests related to 'Personal projects focused on transforming complex data into clear insights' and 'Hiking and trail running in alpine environments.'
23,Maxime 23,Omission,The 'Extraction' variant omits the personal interest 'Strong interest in Industry 4.0 and automation technologies.' and the field 'Mathematics & Engineering Sciences' for the 'French Baccalauréat' entry.
23,Sarah 23,Omission,"The 'Extraction' variant omits the 'Personal Instagram portfolio focused on lifestyle and travel photography.' and 'Strong interest in fashion, consumer trends, and contemporary art exhibitions.' from the 'List of personal interests'."
24,Amelie 24,Omission,The 'List of personal interests' in the Extraction is missing the detail 'Active participation in climate-related student initiatives.' and 'Regular practice focused on balance and resilience.' from the Original.
24,Ines 24,Omission,"The 'Extraction' is missing personal interests such as 'Regular attendee of economic conferences and public policy forums.' and 'Volunteering'. Additionally, the 'Extraction' includes a 'Tutor for underprivileged high school students in economics.' as a professional experience, which is listed as a personal interest in the 'Original'."
24,Sarah 24,Omission,"The 'Extraction' variant is missing the company name for the 'Digital Marketing Assistant' role and omits detailed personal interests such as 'Personal Instagram portfolio focused on lifestyle and travel photography' and 'Strong interest in fashion, consumer trends, and contemporary art exhibitions.'"
24,Thomasl 24,Modification,The company name 'PayFast Fintech' was modified to 'PayFast'. The dates for the freelance experience were changed from '2024 - Present' to 'Jan 2024 - Jan 2026'. The university name was expanded from 'IUT Lyon 1' to 'IUT Lyon 1 / École du Web'.
26,Amelie 26,Omission,"The 'Extraction' variant omits the detailed description of 'Active participation in climate-related student initiatives.' under 'List of personal interests'. Additionally, the 'country or city' for the 'Environmental NGO' experience is 'not found' in the 'Original' but is listed as 'Paris' in the 'Extraction'."
26,Ines 26,Modification,The job title and company for the second professional experience are swapped between 'Original' and 'Extraction'.
26,Maxime 26,Omission,The 'Extraction' variant omits the detailed personal interest in 'Strong interest in Industry 4.0 and automation technologies.' and 'Competitive basketball (regional league).' from the 'Original' variant.
26,Sarah 26,Omission,"The 'Extraction' variant omits the personal interest 'Personal Instagram portfolio focused on lifestyle and travel photography.' and 'Strong interest in fashion, consumer trends, and contemporary art exhibitions.' from the 'List of personal interests'."
27,Camille 27,Omission,"The 'Extraction' variant is missing the 'country or city' information for both professional experiences. Additionally, the 'field' for the University of Bordeaux is missing in the 'Extraction' variant, and the 'level_of_degree' for McGill University is not found."
27,Ines 27,Omission,The 'Extraction' variant is missing the description for the tutoring role under professional experiences and the detailed personal interests related to economic conferences and tutoring activities.
27,Sarah 27,Omission,The 'Extraction' variant is missing the personal interest 'Personal Instagram portfolio focused on lifestyle and travel photography.' from the 'Original' variant.
27,Thomasl 27,Modification,"The company name 'PayFast Fintech' was modified to 'PayFast'. The dates for the freelance experience were changed from '2024 - Present' to 'Jan 2024 - Jan 2026', which is a temporal modification. The university name 'IUT Lyon 1' was expanded to 'IUT Lyon 1 / École du Web', which is a modification. The field of study 'Digital Project Management' was marked as 'not found'."
29,Amelie 29,Omission,The 'List of personal interests' in the Extraction is missing the detail 'Active participation in climate-related student initiatives.' and 'Regular practice focused on balance and resilience.'
29,Ines 29,Omission,The 'Extraction' variant is missing the detailed description of personal interests related to attending economic conferences and tutoring activities.
29,Louis 29,Omission,The 'Extraction' variant omits the personal interest 'Personal projects focused on transforming complex data into clear insights.' from the 'Original' variant.
29,Sarah 29,Omission,The 'Extraction' variant is missing the personal interest 'Personal Instagram portfolio focused on lifestyle and travel photography.' from the 'Original' variant.
32,Amelie 32,Omission,"The 'Extraction' variant omits the detailed descriptions of personal interests found in the 'Original' variant, specifically the active participation in climate-related student initiatives and the regular practice focused on balance and resilience."
32,Camille 32,Omission,"The 'Extraction' is missing the country 'Senegal' for the NGO 'Education For All' experience and the city 'Bordeaux, France' for the University of Bordeaux study. Additionally, the 'List of personal interests' in 'Extraction' omits details about 'Russian literature and South American cinema'."
32,Ines 32,Omission,The 'Extraction' variant is missing the description for the tutoring role under professional experiences and the detailed personal interest in attending economic conferences and public policy forums.
32,Louis 32,Omission,The 'Extraction' variant omits the personal interest 'Personal projects focused on transforming complex data into clear insights.' from the 'Original' variant.
35,Camille 35,Omission,"The 'Extraction' variant is missing the country 'Senegal' for the NGO Education For All experience and the city 'Bordeaux, France' for the University of Bordeaux study. Additionally, the 'Extraction' variant does not include detailed descriptions for personal interests."
35,Ines 35,Omission,"The 'Extraction' is missing the personal interest 'Regular attendee of economic conferences and public policy forums.' and 'Volunteering'. Additionally, the 'Extraction' includes a professional experience entry for 'Tutor for underprivileged high school students in economics' which is not listed as a professional experience in the 'Original'."
35,Louis 35,Omission,The 'Extraction' variant omits the personal interest 'Personal projects focused on transforming complex data into clear insights.' from the 'Original' variant.
35,Sarah 35,Omission,"The 'Extraction' is missing the company name 'E-commerce Startup' for the 'Digital Marketing Assistant (Part-time)' role. Additionally, the 'List of personal interests' in the 'Extraction' omits 'Personal Instagram portfolio focused on lifestyle and travel photography.' and 'Strong interest in fashion, consumer trends, and contemporary art exhibitions.'"
36,Ines 36,Omission,"The 'Extraction' variant is missing the detailed description of personal interests related to economic conferences and tutoring activities. Additionally, the 'Extraction' includes a tutoring role as a professional experience, which is not present in the 'Original'."
36,Louis 36,Omission,The 'Extraction' variant omits the personal interest 'Personal projects focused on transforming complex data into clear insights.' from the 'List of personal interests'.
36,Sarah 36,Omission,The 'Extraction' variant omits the detailed description of the personal interest related to 'Photography' and 'Cultural Trends' as well as the 'Economics & Social Sciences' field for the 'French Baccalauréat'.
36,Thomasl 36,Modification,The company name 'PayFast Fintech' was modified to 'PayFast'. The dates for the freelance experience were changed from '2024 - Present' to 'Jan 2024 - Jan 2026'. The university name 'IUT Lyon 1' was modified to 'IUT Lyon 1 / École du Web'.
14,Camille 14,Omission,"The 'Extraction' variant omits the second study entry related to McGill University, which is present in the 'Original' variant."
14,Clara 14,Modification,"The 'Extraction' variant modifies the personal interests from 'Debating (national competitions), long-distance running, economic podcasts' to 'Debating, Sports, Culture', which changes the specific interests listed. Additionally, the 'Extraction' variant omits the detailed description of the internship at Roland Berger and the team size in the emlyon Junior Conseil experience."
14,Sarah 14,Modification,"The 'Extraction' variant has modified the description of professional experiences and personal interests, leading to a loss of detail. The 'French Baccalauréat' is labeled differently, and the field of study for the Baccalauréat is missing."
21,Camille 21,Omission,"The 'Extraction' is missing the country 'Senegal' for the NGO 'Education For All' experience and the field 'Political Science' for the University of Bordeaux study entry. Additionally, the 'Extraction' does not include detailed descriptions for personal interests."
21,Ines 21,Omission,The 'Extraction' variant is missing the personal interest details: 'Regular attendee of economic conferences and public policy forums.' and 'Tutor for underprivileged high school students in economics.' is listed as a professional experience without description or dates.
21,Louis 21,Omission,"The 'Extraction' variant omits several personal interests listed in the 'Original' variant, specifically 'Data Visualization' and 'Personal projects focused on transforming complex data into clear insights.'"
34,Ines 34,Omission,"The 'Extraction' variant is missing the description for the tutoring role under professional experiences, which is present in the 'Original' variant under personal interests."
34,Louis 34,Omission,The 'Extraction' variant omits the personal interest 'Personal projects focused on transforming complex data into clear insights.' from the 'Original' variant.
34,Sarah 34,Omission,The 'List of personal interests' in the Extraction is missing the entry 'Personal Instagram portfolio focused on lifestyle and travel photography.' from the Original.
11,Clara 11,Modification,"The Extraction has modified the dates for the studies at Lycée du Parc from '2022' to '1 SEP 2021 - 1 JUN 2022', which is a non-overlapping, incompatible date change. Additionally, the personal interests list in the Extraction has 'Sports' instead of 'long-distance running', which is a modification."
11,Hugo 11,Omission,"The 'Extraction' variant omits the personal interests 'chess' and 'marathon training' present in the 'Original'. Additionally, the 'Extraction' variant does not include the description details 'Prepared market analysis for M&A transactions' and 'Conducted comparable companies and precedent transactions analyses' from the 'Original'."
28,Ines 28,Omission,"The 'Extraction' variant is missing the detailed description of personal interests related to regular attendance at economic conferences and public policy forums, as well as the tutoring activity being listed as a professional experience without a date or description."
28,Maxime 28,Omission,"The 'Extraction' is missing the 'Supply Chain Project (Academic)' experience from the 'Original'. Additionally, the 'List of personal interests' in the 'Extraction' omits 'Strong interest in Industry 4.0 and automation technologies.'"
37,Amelie 37,Omission,The 'List of personal interests' in the Extraction is missing the detail 'Active participation in climate-related student initiatives.' and 'Regular practice focused on balance and resilience.' from the Original.
37,Thomasg 37,Omission,"The 'Extraction' is missing the second educational entry from the 'Original' which includes the 'French Baccalauréat' from 'Lycée Clémenceau'. Additionally, the 'List of personal interests' in the 'Extraction' is missing 'Active member of startup communities and innovation events.'"
38,Camille 38,Omission,The 'Extraction' variant omits the country 'Senegal' for the NGO experience and the detailed personal interests related to 'Culture'.
38,Sarah 38,Omission,"The 'Extraction' variant omits the detailed description of personal interests related to 'Personal Instagram portfolio focused on lifestyle and travel photography' and 'Strong interest in fashion, consumer trends, and contemporary art exhibitions.'"
40,Hugo 40,Modification,"The dates for professional experiences are merged incorrectly in the Extraction, combining two separate experiences into one date range. Additionally, the Extraction includes 'Highest Honors' in the field for the French Baccalauréat, which is not present in the Original."
40,Ines 40,Omission,"The 'Extraction' variant is missing the personal interest description 'Regular attendee of economic conferences and public policy forums.' Additionally, the 'Extraction' includes a professional experience entry for 'Tutor for underprivileged high school students in economics' which is listed as a personal interest in the 'Original'."
02,Sarah 02,Omission,The 'Extraction' variant is missing the company name 'E-commerce Startup' for the 'Digital Marketing Assistant (Part-time)' role.
08,Camille 08,Omission,The job title 'International Humanitarian Mission' is missing in the 'Extraction' for the NGO 'Education For All' experience.
10,Sarah 10,Omission,The 'Extraction' variant is missing the company name 'E-commerce Startup' for the 'Digital Marketing Assistant (Part-time)' role.
12,Camille 12,Omission,"The 'Extraction' is missing the second study entry for the International Exchange at McGill University. Additionally, the 'Extraction' has a simplified description of personal interests and professional experiences, omitting specific details such as the budget for events and the number of volunteers coordinated."
30,Ines 30,Omission,"The 'Extraction' variant is missing the detailed descriptions of personal interests, specifically 'Regular attendee of economic conferences and public policy forums.' and 'Tutor for underprivileged high school students in economics.' Additionally, the 'Volunteering Tutor' role is listed as a professional experience without specific dates or company information, which is inconsistent with the 'Original' variant where it is part of personal interests."
31,Ines 31,Modification,"The job title and company for the second professional experience are swapped in the Extraction. Additionally, a new professional experience as a 'Tutor for underprivileged high school students in economics' is added in the Extraction, which is not present in the Original as a professional experience but as a personal interest."
33,Ines 33,Omission,"The 'Extraction' variant is missing the detailed description of personal interests related to economic conferences and forums, and the tutoring activity is listed as a professional experience without a description."
