"Name";"List of interests-value";"List of studies-value";"Professional Experience-value"
"louis 30";"{""interests"":[""Outdoor Sports"",""Hiking and trail running in alpine environments.""]}";"[{""dates"":""2021 - 2024"",""field"":""not found"",""university"":""Université Grenoble Alpes, Grenoble"",""country or city"":""Grenoble"",""level_of_degree"":""Bachelor in Applied Mathematics & Economics""},{""dates"":""2021"",""field"":""Specialization in Mathematics & Physics"",""university"":""Lycée Champollion, Grenoble"",""country or city"":""Grenoble"",""level_of_degree"":""French Baccalauréat""}]";"[{""dates"":""Jun 2024 - Sept 2024"",""company"":""Retail Analytics Company, Lyon"",""job title"":""Data Analyst Intern"",""description"":""Cleaned and analyzed large customer datasets using Python and SQL.\n\nBuilt dashboards to support marketing and pricing decisions.\n\nPresented insights to non-technical stakeholders."",""country or city"":""not found""},{""dates"":""Jan 2024 - May 2024"",""company"":""not found"",""job title"":""Business Analytics Project (Academic)"",""description"":""Worked in a team to analyze sales performance for a retail chain.\n\nDeveloped forecasting models and recommendations for inventory optimization."",""country or city"":""Grenoble""}]"
"louis 29";"{""interests"":[""Data Visualization"",""Hiking and trail running in alpine environments.""]}";"{""studies"":[{""dates"":""2021 - 2024"",""field"":""not found"",""university"":""Université Grenoble Alpes"",""country or city"":""Grenoble"",""level_of_degree"":""Bachelor in Applied Mathematics & Economics""},{""dates"":""2021"",""field"":""Specialization in Mathematics & Physics"",""university"":""Lycée Champollion"",""country or city"":""Grenoble"",""level_of_degree"":""French Baccalauréat""}]}";"[{""dates"":""Jun 2024 - Sept 2024"",""company"":""Retail Analytics Company"",""job title"":""Data Analyst Intern"",""description"":""Cleaned and analyzed large customer datasets using Python and SQL.\n\nBuilt dashboards to support marketing and pricing decisions.\n\nPresented insights to non-technical stakeholders."",""country or city"":""Lyon""},{""dates"":""Jan 2024 - May 2024"",""company"":""not found"",""job title"":""Business Analytics Project (Academic)"",""description"":""Worked in a team to analyze sales performance for a retail chain.\n\nDeveloped forecasting models and recommendations for inventory optimization."",""country or city"":""Grenoble""}]"
"louis 28";"{""interests"":[""Data Visualization"",""Personal projects focused on transforming complex data into clear insights."",""Outdoor Sports"",""Hiking and trail running in alpine environments.""]}";"[{""dates"":""2021 - 2024"",""field"":""not found"",""university"":""Université Grenoble Alpes"",""country or city"":""Grenoble"",""level_of_degree"":""Bachelor in Applied Mathematics & Economics""},{""dates"":""2021"",""field"":""not found"",""university"":""Lycée Champollion"",""country or city"":""Grenoble"",""level_of_degree"":""French Baccalauréat""}]";"[{""dates"":""Jun 2024 - Sept 2024"",""company"":""Retail Analytics Company"",""job title"":""Data Analyst Intern"",""description"":""Cleaned and analyzed large customer datasets using Python and SQL.\n\nBuilt dashboards to support marketing and pricing decisions.\n\nPresented insights to non-technical stakeholders."",""country or city"":""Lyon""},{""dates"":""Jan 2024 - May 2024"",""company"":""not found"",""job title"":""Business Analytics Project (Academic)"",""description"":""Worked in a team to analyze sales performance for a retail chain.\n\nDeveloped forecasting models and recommendations for inventory optimization."",""country or city"":""Grenoble""}]"
"louis 27";"{""interests"":[""Data Visualization"",""Personal projects focused on transforming complex data into clear insights."",""Outdoor Sports"",""Hiking and trail running in alpine environments.""]}";"{""studies"":[{""dates"":""2021 to 2024"",""field"":""not found"",""university"":""Université Grenoble Alpes"",""country or city"":""Grenoble"",""level_of_degree"":""Bachelor in Applied Mathematics & Economics""},{""dates"":""2021"",""field"":""Specialization in Mathematics & Physics"",""university"":""Lycée Champollion"",""country or city"":""Grenoble"",""level_of_degree"":""French Baccalauréat""}]}";"[{""dates"":""Jun 2024 to Sept 2024"",""company"":""Retail Analytics Company, Lyon"",""job title"":""Data Analyst Intern"",""description"":""Cleaned and analyzed large customer datasets using Python and SQL.\n\nBuilt dashboards to support marketing and pricing decisions.\n\nPresented insights to non-technical stakeholders."",""country or city"":""not found""},{""dates"":""Jan 2024 to May 2024"",""company"":""Grenoble"",""job title"":""Business Analytics Project (Academic)"",""description"":""Worked in a team to analyze sales performance for a retail chain.\n\nDeveloped forecasting models and recommendations for inventory optimization."",""country or city"":""not found""}]"
"louis 26";"{""interests"":[""Data Visualization"",""Personal projects focused on transforming complex data into clear insights."",""Outdoor Sports"",""Hiking and trail running in alpine environments.""]}";"[{""dates"":""2021 -2024"",""field"":""not found"",""university"":""Université Grenoble Alpes"",""country or city"":""Grenoble"",""level_of_degree"":""Bachelor in Applied Mathematics & Economics""},{""dates"":""2021"",""field"":""Specialization in Mathematics & Physics"",""university"":""Lycée Champollion"",""country or city"":""Grenoble"",""level_of_degree"":""French Baccalauréat""}]";"[{""dates"":""Jun 2024 - Sept 2024"",""company"":""Retail Analytics Company"",""job title"":""Data Analyst Intern"",""description"":""Cleaned and analyzed large customer datasets using Python and SQL.\n\nBuilt dashboards to support marketing and pricing decisions.\n\nPresented insights to non-technical stakeholders."",""country or city"":""Lyon""},{""dates"":""Jan 2024 - May 2024"",""company"":""not found"",""job title"":""Business Analytics Project (Academic)"",""description"":""Worked in a team to analyze sales performance for a retail chain.\n\nDeveloped forecasting models and recommendations for inventory optimization."",""country or city"":""Grenoble""}]"
"louis 25";"{""interests"":[""Data Visualization"",""Personal projects focused on transforming complex data into clear insights."",""Outdoor Sports"",""Hiking and trail running in alpine environments.""]}";"[{""dates"":""2021 - 2024"",""field"":""not found"",""university"":""Université Grenoble Alpes"",""country or city"":""Grenoble"",""level_of_degree"":""Bachelor in Applied Mathematics & Economics""},{""dates"":""2021"",""field"":""not found"",""university"":""Lycée Champollion"",""country or city"":""Grenoble"",""level_of_degree"":""French Baccalauréat""}]";"[{""dates"":""Jun 2024 - Sept 2024"",""company"":""Retail Analytics Company"",""job title"":""Data Analyst Intern"",""description"":""Cleaned and analyzed large customer datasets using Python and SQL.\n\nBuilt dashboards to support marketing and pricing decisions.\n\nPresented insights to non-technical stakeholders."",""country or city"":""Lyon""},{""dates"":""Jan 2024 - May 2024"",""company"":""not found"",""job title"":""Business Analytics Project (Academic)"",""description"":""Worked in a team to analyze sales performance for a retail chain.\n\nDeveloped forecasting models and recommendations for inventory optimization."",""country or city"":""Grenoble""}]"
"louis 24";"{""interests"":[""Data Visualization"",""Personal projects focused on transforming complex data into clear insights."",""Outdoor Sports"",""Hiking and trail running in alpine environments.""]}";"[{""dates"":""2021 - 2024"",""field"":""not found"",""university"":""Université Grenoble Alpes, Grenoble"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Applied Mathematics & Economics""},{""dates"":""2021"",""field"":""not found"",""university"":""Lycée Champollion, Grenoble"",""country or city"":""not found"",""level_of_degree"":""French Baccalauréat""}]";"[{""dates"":""Jun 2024 - Sept 2024"",""company"":""Retail Analytics Company"",""job title"":""Data Analyst Intern"",""description"":""Cleaned and analyzed large customer datasets using Python and SQL.\n\nBuilt dashboards to support marketing and pricing decisions.\n\nPresented insights to non-technical stakeholders."",""country or city"":""Lyon""},{""dates"":""Jan 2024 - May 2024"",""company"":""not found"",""job title"":""Business Analytics Project (Academic)"",""description"":""Worked in a team to analyze sales performance for a retail chain.\n\nDeveloped forecasting models and recommendations for inventory optimization."",""country or city"":""Grenoble""}]"
"louis 23";"{""interests"":[""Data Visualization\n\nPersonal projects focused on transforming complex data into clear insights."",""Outdoor Sports\nHiking and trail running in alpine environments.""]}";"[{""dates"":""2021 - 2024"",""field"":""not found"",""university"":""Université Grenoble Alpes"",""country or city"":""Grenoble"",""level_of_degree"":""Bachelor in Applied Mathematics & Economics""},{""dates"":""2021"",""field"":""not found"",""university"":""Lycée Champollion"",""country or city"":""Grenoble"",""level_of_degree"":""French Baccalauréat""}]";"[{""dates"":""Jun 2024 - Sept 2024"",""company"":""Retail Analytics Company"",""job title"":""Data Analyst Intern"",""description"":""Cleaned and analyzed large customer datasets using Python and SQL.\n\nBuilt dashboards to support marketing and pricing decisions.\n\nPresented insights to non-technical stakeholders."",""country or city"":""Lyon""},{""dates"":""Jan 2024 - May 2024"",""company"":""not found"",""job title"":""Business Analytics Project (Academic)"",""description"":""Worked in a team to analyze sales performance for a retail chain.\n\nDeveloped forecasting models and recommendations for inventory optimization."",""country or city"":""Grenoble""}]"
"louis 22";"{""interests"":[""Data Visualization"",""Outdoor Sports"",""Hiking and trail running in alpine environments.""]}";"[{""dates"":""2021 - 2024"",""field"":""not found"",""university"":""Université Grenoble Alpes, Grenoble"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Applied Mathematics & Economics""},{""dates"":""2021"",""field"":""Specialization in Mathematics & Physics"",""university"":""Lycée Champollion, Grenoble"",""country or city"":""not found"",""level_of_degree"":""French Baccalauréat""}]";"[{""dates"":""JUN 2024 - SEPT 2024"",""company"":""Retail Analytics Company"",""job title"":""Data Analyst Intern"",""description"":""Cleaned and analyzed large customer datasets using Python and SQL.\n\nBuilt dashboards to support marketing and pricing decisions.\n\nPresented insights to non-technical stakeholders."",""country or city"":""Lyon""},{""dates"":""JAN 2024 - MAY 2024"",""company"":""not found"",""job title"":""Business Analytics Project (Academic)"",""description"":""Worked in a team to analyze sales performance for a retail chain.\n\nDeveloped forecasting models and recommendations for inventory optimization."",""country or city"":""Grenoble""}]"
"louis 21";"{""interests"":[""Data Visualization"",""Outdoor Sports"",""Hiking and trail running in alpine environments.""]}";"{""studies"":[{""dates"":""2021 - 2024"",""field"":""not found"",""university"":""Université Grenoble Alpes"",""country or city"":""Grenoble"",""level_of_degree"":""Bachelor in Applied Mathematics & Economics""},{""dates"":""2021"",""field"":""Specialization in Mathematics & Physics"",""university"":""Lycée Champollion"",""country or city"":""Grenoble"",""level_of_degree"":""French Baccalauréat""}]}";"[{""dates"":""Jun 2024 - Sept 2024"",""company"":""Retail Analytics Company"",""job title"":""Data Analyst Intern"",""description"":""Cleaned and analyzed large customer datasets using Python and SQL.\n\nBuilt dashboards to support marketing and pricing decisions.\n\nPresented insights to non-technical stakeholders."",""country or city"":""Lyon""},{""dates"":""Jan 2024 - May 2024"",""company"":""not found"",""job title"":""Business Analytics Project (Academic)"",""description"":""Worked in a team to analyze sales performance for a retail chain.\n\nDeveloped forecasting models and recommendations for inventory optimization."",""country or city"":""Grenoble""}]"
"hugo 40";"{""interests"":[""Stock market investing"",""chess"",""marathon training""]}";"[{""dates"":""2021 -2024"",""field"":""not found"",""university"":""University Paris-Dauphine"",""country or city"":""Paris"",""level_of_degree"":""Bachelor in Economics""},{""dates"":""not found"",""field"":""Mathematics & Physics - Highest Honors"",""university"":""Lycée Saint-Louis, Paris"",""country or city"":""Paris"",""level_of_degree"":""French Baccalauréat""}]";"[{""dates"":""Jun 2024 - Aug 2024 Jan 2024 - May 2024"",""company"":""Société Générale CIB"",""job title"":""Corporate Finance Intern"",""description"":""Assisted in financial modeling and company valuation. Prepared pitchbooks and market analysis for M&A transactions. Conducted comparable companies and precedent transactions analyses."",""country or city"":""Paris""},{""dates"":""Jun 2024 - Aug 2024 Jan 2024 - May 2024"",""company"":""Student Investment Fund"",""job title"":""Private Equity Analyst (Part-time)"",""description"":""Analyzed investment opportunities in SMEs. Built LBO models and investment memos."",""country or city"":""not found""}]"
"hugo 39";"{""interests"":[""Stock market investing"",""chess"",""marathon training""]}";"[{""dates"":""2021-2024"",""field"":""not found"",""university"":""University Paris-Dauphine"",""country or city"":""Paris"",""level_of_degree"":""Bachelor in Economics""},{""dates"":""2021"",""field"":""Mathematics & Physics"",""university"":""Lycée Saint-Louis"",""country or city"":""Paris"",""level_of_degree"":""French Baccalauréat""}]";"[{""dates"":""06/2024-08/2024"",""company"":""Société Générale CIB"",""job title"":""Corporate Finance Intern"",""description"":""Assisted in financial modeling and company valuation.\n\nPrepared pitchbooks and market analysis for M&A transactions.\n\nConducted comparable companies and precedent transactions analyses."",""country or city"":""Paris""},{""dates"":""01/2024-05/2024"",""company"":""not found"",""job title"":""Private Equity Analyst (Part-time) at Student Investment Fund"",""description"":""Analyzed investment opportunities in SMEs.\n\nBuilt LBO models and investment memos."",""country or city"":""not found""}]"
"hugo 38";"{""interests"":[""Stock market investing"",""chess"",""marathon training""]}";"[{""dates"":""2021 - 2024"",""field"":""not found"",""university"":""University Paris-Dauphine"",""country or city"":""Paris"",""level_of_degree"":""Bachelor in Economics""},{""dates"":""2021"",""field"":""not found"",""university"":""Lycée Saint-Louis"",""country or city"":""Paris"",""level_of_degree"":""French Baccalauréat""}]";"[{""dates"":""Jun 2024 - Aug 2024"",""company"":""Société Générale CIB"",""job title"":""Corporate Finance Intern"",""description"":""Assisted in financial modeling and company valuation.\n\nPrepared pitchbooks and market analysis for M&A transactions.\n\nConducted comparable companies and precedent transactions analyses."",""country or city"":""Paris""},{""dates"":""Jan 2024 - May 2024"",""company"":""not found"",""job title"":""Private Equity Analyst (Part-time), Student Investment Fund"",""description"":""Analyzed investment opportunities in SMEs.\n\nBuilt LBO models and investment memos."",""country or city"":""not found""}]"
"hugo 37";"{""interests"":[""Stock market investing"",""chess"",""marathon training""]}";"[{""dates"":""2021-2024"",""field"":""not found"",""university"":""University Paris-Dauphine, Paris"",""country or city"":""Paris"",""level_of_degree"":""Bachelor in Economics""},{""dates"":""2021"",""field"":""Mathematics & Physics"",""university"":""Lycée Saint-Louis, Paris, Paris"",""country or city"":""Paris"",""level_of_degree"":""French Baccalauréat""}]";"[{""dates"":""Jun 2024 - Aug 2024"",""company"":""Société Générale CIB"",""job title"":""Corporate Finance Intern"",""description"":""Assisted in financial modeling and company valuation."",""country or city"":""Paris""},{""dates"":""Jan 2024 - May 2024"",""company"":""Student Investment Fund"",""job title"":""Private Equity Analyst (Part-time)"",""description"":""Analyzed investment opportunities in SMEs.\nPrepared pitchbooks and market analysis for M&A transactions.\nConducted comparable companies and precedent transactions analyses."",""country or city"":""not found""}]"
"hugo 36";"{""interests"":[""Stock market investing"",""chess"",""marathon training""]}";"[{""dates"":""2021 - 2024"",""field"":""not found"",""university"":""University Paris-Dauphine, Paris"",""country or city"":""Paris"",""level_of_degree"":""Bachelor in Economics""},{""dates"":""2021"",""field"":""Mathematics & Physics"",""university"":""Lycée Saint-Louis, Paris"",""country or city"":""Paris"",""level_of_degree"":""French Baccalauréat""}]";"[{""dates"":""JUN 2024 - AUG 2024"",""company"":""Société Générale CIB"",""job title"":""Corporate Finance Intern"",""description"":""Assisted in financial modeling and company valuation.\n\nPrepared pitchbooks and market analysis for M&A transactions.\n\nConducted comparable companies and precedent transactions analyses."",""country or city"":""Paris""},{""dates"":""JAN 2024 - MAY 2024"",""company"":""not found"",""job title"":""Private Equity Analyst (Part-time)"",""description"":""Analyzed investment opportunities in SMEs.\n\nBuilt LBO models and investment memos."",""country or city"":""not found""}]"
"hugo 35";"{""interests"":[""Stock market investing"",""chess"",""marathon training""]}";"[{""dates"":""2021 - 2024"",""field"":""not found"",""university"":""University Paris-Dauphine"",""country or city"":""Paris"",""level_of_degree"":""Bachelor in Economics""},{""dates"":""2021"",""field"":""not found"",""university"":""Lycée Saint-Louis"",""country or city"":""Paris"",""level_of_degree"":""French Baccalauréat""}]";"[{""dates"":""Jun 2024 - Aug 2024"",""company"":""Société Générale CIB"",""job title"":""Corporate Finance Intern"",""description"":""Assisted in financial modeling and company valuation.\n\nPrepared pitchbooks and market analysis for M&A transactions.\n\nConducted comparable companies and precedent transactions analyses."",""country or city"":""Paris""},{""dates"":""Jan 2024 - May 2024"",""company"":""not found"",""job title"":""Private Equity Analyst (Part-time), Student Investment Fund"",""description"":""Analyzed investment opportunities in SMEs.\n\nBuilt LBO models and investment memos."",""country or city"":""not found""}]"
"hugo 34";"{""interests"":[""Stock market investing"",""chess"",""marathon training""]}";"[{""dates"":""2021 -2024"",""field"":""not found"",""university"":""University Paris-Dauphine, Paris"",""country or city"":""Paris"",""level_of_degree"":""Bachelor in Economics""},{""dates"":""2021"",""field"":""Mathematics & Physics"",""university"":""Lycée Saint-Louis, Paris, Paris"",""country or city"":""Paris"",""level_of_degree"":""French Baccalauréat""}]";"[{""dates"":""Jun 2024 - Aug 2024"",""company"":""Société Générale CIB"",""job title"":""Corporate Finance Intern"",""description"":""Assisted in financial modeling and company valuation.\n\nPrepared pitchbooks and market analysis for M&A transactions.\n\nConducted comparable companies and precedent transactions analyses."",""country or city"":""Paris""},{""dates"":""Jan 2024 - May 2024"",""company"":""Student Investment Fund"",""job title"":""Private Equity Analyst (Part-time)"",""description"":""Analyzed investment opportunities in SMEs.\n\nBuilt LBO models and investment memos."",""country or city"":""not found""}]"
"hugo 33";"{""interests"":[""Stock market investing"",""chess"",""marathon training""]}";"[{""dates"":""2021 - 2024"",""field"":""not found"",""university"":""University Paris-Dauphine, Paris"",""country or city"":""Paris"",""level_of_degree"":""Bachelor in Economics""},{""dates"":""2021"",""field"":""Mathematics & Physics"",""university"":""Lycée Saint-Louis, Paris, Paris"",""country or city"":""Paris"",""level_of_degree"":""French Baccalauréat""}]";"[{""dates"":""Jun 2024 - Aug 2024"",""company"":""Société Générale CIB"",""job title"":""Corporate Finance Intern"",""description"":""Assisted in financial modeling and company valuation.\n\nPrepared pitchbooks and market analysis for M&A transactions.\n\nConducted comparable companies and precedent transactions analyses."",""country or city"":""Paris""},{""dates"":""Jan 2024 - May 2024"",""company"":""Student Investment Fund"",""job title"":""Private Equity Analyst (Part-time)"",""description"":""Analyzed investment opportunities in SMEs.\n\nBuilt LBO models and investment memos."",""country or city"":""not found""}]"
